label	level	kind	unit	evidence	definition	aliases	man
main	1	noțiune	lab03	lab01#introducere,lab03#functia_main	Funcția principală, de la care începe execuția oricărui program C; întoarce un int (codul de ieșire) către sistemul de operare, 0 însemnând succes.	funcția main;main();funcția principală;exit code	
variabilă	1	noțiune	lab02	lab02#tipuri_fundamentale_de_date,lab04#reprezentarea_in_memorie	Zonă de memorie cu un nume, care stochează o valoare de un anumit tip; are o adresă și ocupă un număr de octeți dat de tipul ei.	variabile;variabila;variabilei;variabilele	
tip de date	1	noțiune	lab02	lab02#tipuri_fundamentale_de_date	Tipul informației stocate într-o variabilă: definește gama de valori pe care o poate lua și operațiile care se pot efectua asupra ei.	tipuri de date;tipul de date;tipuri fundamentale;tip de data	
int	1	tip de date	lab02	lab02#tipuri_fundamentale_de_date	Tip pentru numere întregi (implicit cu semn); de obicei pe 32 de biți (4 octeți) pe Linux, adică valori în [-2.147.483.648; 2.147.483.647].		
char	1	tip de date	lab02	lab02#tipuri_fundamentale_de_date	Tip reprezentat pe 8 biți (un octet), folosit de obicei pentru caractere ASCII; poate fi echivalent cu signed char sau cu unsigned char, în funcție de compilator.		
float	1	tip de date	lab02	lab02#tipuri_fundamentale_de_date	Tip pentru numere reale în virgulă mobilă, în general pe 4 octeți (IEEE 754 simplă precizie), cu aproximativ 7 zecimale exacte.		
double	1	tip de date	lab02	lab02#tipuri_fundamentale_de_date	Tip pentru numere reale în virgulă mobilă, în general pe 8 octeți (IEEE 754 dublă precizie), cu cel puțin 15 zecimale exacte.		
long	2	cuvânt cheie	lab02	lab02#tipuri_fundamentale_de_date	Specificator pentru int și double: long int are cel puțin 32 de biți, iar long double este cel puțin cât double.	long int;long double	
unsigned	2	cuvânt cheie	lab02	lab02#tipuri_fundamentale_de_date	Specificator pentru tipurile întregi care precizează că valoarea nu are semn (e pozitivă); ex. unsigned char are valori în [0; 255].	unsigned char;unsigned int	
overflow	2	eroare	lab02	lab02#tipuri_fundamentale_de_date,lab04#cautare_binara_iterativa	Depășirea limitelor tipului de date de către valoarea unei variabile, care produce rezultate greșite, aparent inexplicabile.	over-flow;depășire	
operator	1	noțiune	lab02	lab02#operatori	Simbol care descrie o operație asupra unor operanzi; operatorii C pot fi unari, binari sau ternari și au o precedență și o asociativitate bine definite.	operatori;operatorii;operatorul	
precedența operatorilor	1	noțiune	lab02	lab02#operatori	Ordinea în care se aplică operatorii într-o expresie; ex. în `flags & MASK == 0` se face întâi == , deci sunt necesare paranteze.	precedență;precedența;prioritate;priorității	
asociativitate	3	noțiune	lab02	lab02#operatori	Sensul (stânga-dreapta sau dreapta-stânga) în care se grupează operatorii cu aceeași precedență; ex. atribuirea se asociază de la dreapta la stânga.	asociativitatea	
expresie	1	noțiune	lab02	lab02#operatori,lab01#interactiunea_program-utilizator	Secvență validă de operanzi și operatori care calculează o valoare, desemnează un obiect sau o funcție, sau produce un efect lateral.	expresia;expresii;expresiei	
operatorul de atribuire	1	operator	lab02	lab02#operatori	Operatorul `=` care copiază valoarea din dreapta în variabila din stânga; expresia de atribuire are ca valoare valoarea atribuită.	atribuire;operatorul =;atribuirea	
operatorul de egalitate	1	operator	lab02	lab02#operatori	Operatorul `==` (și opusul său `!=`) care compară doi operanzi și dă 1 dacă sunt egali, 0 altfel.	operatorul ==;comparație de egalitate;operatorul !=	
confuzia între = și ==	1	eroare	lab02	lab02#operatori	Greșeala de a scrie `if (a = 2)` în loc de `if (a == 2)`: se face o atribuire, condiția e mereu nenulă, iar compilatorul o acceptă ca validă.	utilizarea greșită a operatorilor = și ==;if (a = 2)	
operator relațional	1	operator	lab02	lab02#operatori	Operatori de comparare `<`, `<=`, `>`, `>=` care dau 1 (adevărat) sau 0 (fals).	operatori relaționali;mai mic sau egal;mai mare sau egal	
operator logic	1	operator	lab02	lab02#operatori,coding-style#if_-_else	Operatorii `&&` (ȘI logic), `||` (SAU logic) și `!` (negare logică), folosiți pentru a combina condiții; orice valoare nenulă înseamnă adevărat.	operatori logici;ȘI logic;SAU logic;negare logică;operatorul &&;operatorul ||	
operatorul modulo	1	operator	lab02	lab02#operatori,coding-style#if_-_else	Operatorul `%` care dă restul împărțirii a doi întregi (ex. `n % 2 == 0` verifică dacă n e par).	operatorul %;restul împărțirii;modulo	
operatorul de împărțire	1	operator	lab02	lab02#operatori,lab02#studiu_de_caz	Operatorul `/`; între doi întregi face împărțire întreagă (7 / 2 == 3), de aceea uneori e nevoie de conversie la float.	operatorul /;împărțire;împărțirea	
operatorul de incrementare	1	operator	lab02	lab02#operatori,coding-style#if_-_else	Operatorii unari `++` și `--` care cresc/scad o variabilă cu 1, în formă prefixată (++i) sau postfixată (i++).	incrementare;postincrementare;preincrementare;decrementare;operatorul ++;operatorul --	
operatorul condițional	2	operator	lab02	lab02#operatori	Singurul operator ternar, `cond ? a : b`: dacă cond e nenulă, valoarea e a, altfel b.	operatorul ?:;operator condițional;operator ternar	
conversie de tip	2	operator	lab02	lab02#operatori	Operatorul `(tip)` (cast) care convertește o valoare la alt tip, ex. `(float)(t_stop - t_start)` pentru o împărțire reală.	cast;conversia de tip;(tip)	
sizeof	1	operator	lab02	lab02#operatori,lab02#lab-exercitii,lab04#reprezentarea_in_memorie	Operator care dă mărimea în octeți a unui tip sau a unei variabile (ex. `sizeof(int)`); un tablou ocupă sizeof(T) înmulțit cu numărul de elemente.	sizeof()	
operatorul de indexare	2	operator	lab04	lab02#operatori,lab04#reprezentarea_in_memorie	Operatorul `[]` care accesează elementul de pe poziția i: `v[i]` înseamnă elementul de tip T de la adresa v + i * sizeof(T).	indexare;operatorul [];operatorii de indexare	
operatorul adresă	1	operator	lab01	lab01#interactiunea_program-utilizator,lab02#operatori	Operatorul unar `&` care dă adresa unei variabile; se folosește la scanf, care are nevoie de adresele variabilelor în care citește.	operatorul de adresă;operator adresă;operatorul &	
adresă de memorie	2	noțiune	lab04	lab04#reprezentarea_in_memorie,lab03#transmiterea_parametrilor_prin_valoare	Locul din memorie la care se află o variabilă; fiecare variabilă are o adresă și ocupă un anumit număr de octeți.	adresa de memorie;adresă;adresa;adrese de memorie	
stdio.h	1	fișier antet	lab01	lab01#introducere,lab01#interactiunea_program-utilizator	Header-ul standard de intrare/ieșire, care declară funcții precum printf, scanf, getchar, putchar, puts.	standard input output	stdio.h(0p)
printf	1	funcție de bibliotecă	lab01	lab01#interactiunea_program-utilizator,lab01#introducere	Funcție de afișare cu format: convertește valorile expresiilor în text după specificatorii din șirul de format; pentru fiecare expresie trebuie să existe un specificator.	printf()	printf(3)
scanf	1	funcție de bibliotecă	lab01	lab01#interactiunea_program-utilizator	Funcție de citire cu format de la intrarea standard; primește adresele variabilelor (ex. `&x`) și returnează numărul de valori citite.	scanf()	scanf(3)
specificator de format	1	noțiune	lab01	lab01#interactiunea_program-utilizator	Secvență care începe cu `%` în șirul de format al lui printf/scanf (ex. `%d`, `%f`), care indică tipul și modul de afișare sau citire al unei valori.	descriptor de format;descriptorul de format;descriptorii;specificatori de format	
%d	1	specificator de format	lab01	lab02#switch,lab04#exemple_de_programe	Specificator pentru un întreg cu semn în baza 10 (int), la printf și scanf.		printf(3)
%f	1	specificator de format	lab01	lab04#exemple_de_programe1,lab02#studiu_de_caz	Specificator pentru un număr real (float la scanf; float sau double la printf), afișat implicit cu 6 zecimale; `%.3f` afișează 3 zecimale.		printf(3)
%lf	2	specificator de format	lab01	good-practices#exemplu_de_functie_generica	Specificator pentru double (modificatorul l aplicat lui f); obligatoriu la scanf pentru a citi un double.		scanf(3)
caracterul linie nouă	2	noțiune	lab01	lab01#interactiunea_program-utilizator,lab01#introducere	Caracterul `\n` care trece afișarea pe rândul următor; e introdus și în zona tampon la apăsarea tastei ENTER.	linie nouă;rând nou;\n	
math.h	1	fișier antet	lab02	lab02#functii_matematice,lab01#utilizare_gcc	Header care declară funcțiile matematice (sqrt, pow, fabs, floor, sin...); programul se link-editează cu biblioteca m (opțiunea -lm).		math.h(0p)
sqrt	1	funcție de bibliotecă	lab02	lab02#functii_matematice	`double sqrt(double num)` calculează rădăcina pătrată a parametrului.	sqrt()	sqrt(3)
pow	1	funcție de bibliotecă	lab02	lab02#functii_matematice	`double pow(double base, double exp)` întoarce base la puterea exp, ca număr real.	pow()	pow(3)
fabs	2	funcție de bibliotecă	lab02	lab02#functii_matematice	`double fabs(double arg)` întoarce valoarea absolută a unui număr real.		fabs(3)
stdlib.h	2	fișier antet	lab02	lab02#studiu_de_caz,read-docs#cum_integram_o_functionalitate_in_codul_nostru	Header al bibliotecii standard care declară, printre altele, rand, srand, qsort și funcțiile de alocare a memoriei.		stdlib.h(0p)
time.h	3	fișier antet	lab02	lab02#studiu_de_caz	Header care declară funcțiile de timp clock și time, tipul clock_t și constanta CLOCKS_PER_SEC.		time.h(0p)
clock	3	funcție de bibliotecă	lab02	lab02#studiu_de_caz	`clock_t clock(void)` întoarce aproximativ numărul de cicluri de ceas de la pornirea programului; împărțit la CLOCKS_PER_SEC dă secunde.	clock()	clock(3)
măsurarea timpului de execuție	3	tehnică	lab02	lab02#studiu_de_caz,lab02#obiective	Se memorează clock() înainte și după secvența măsurată, iar diferența, convertită la float, se împarte la CLOCKS_PER_SEC.	măsurarea timpului;timpul de execuție;timpului de execuție	
rand	2	funcție de bibliotecă	lab02	lab02#studiu_de_caz	`int rand(void)` întoarce un număr pseudo-aleator între 0 și RAND_MAX (minim 32767); șirul de numere e determinat complet de seed.	rand();numere aleatoare;pseudo-aleatoare	rand(3)
srand	2	funcție de bibliotecă	lab02	lab02#studiu_de_caz	`void srand(unsigned int seed)` stabilește seed-ul generatorului; uzual `srand((unsigned)time(NULL))`, apelat o singură dată la începutul programului.	srand();seed	srand(3)
instrucțiune	1	noțiune	lab01	lab01#introducere,lab02#instructiuni	Comandă elementară a programului, terminată cu `;` (sau un bloc între acolade); instrucțiunile de control (if, for, while...) decid ordinea de execuție.	instrucțiuni;instrucțiunea;instrucțiunile;comandă	
instrucțiune condițională	2	noțiune	lab02	lab02#instructiuni_conditionale,lab02#if-else,lab02#switch	Instrucțiune care execută un bloc sau altul în funcție de valoarea unei condiții (if-else, switch).	instrucțiuni condiționale;structuri condiționale;structurile condiționale	
if	1	instrucțiune	lab02	lab02#if-else,coding-style#if_-_else	Instrucțiune condițională: evaluează condiția și execută blocul dacă rezultatul e nenul; cu else se execută alt bloc pentru rezultat nul; se pot înlănțui cu else if.	if-else;if…else;else;else if	
switch	1	instrucțiune	lab02	lab02#switch	Compară valoarea întreagă a unei expresii cu constantele din ramurile case și execută ramura potrivită (sau ramura default, dacă nu se potrivește niciuna); fără break, execuția continuă în ramura următoare.	case;default	
fall-through	2	noțiune	lab02	lab02#switch	Comportamentul lui switch în care, fără break, execuția continuă cu instrucțiunile din ramura case următoare; poate fi intenționat sau o greșeală.	fără break	
instrucțiune de repetiție	1	noțiune	lab02	lab02#instructiuni_de_repetitie,lab02#for,lab04#exemple_de_programe	Instrucțiune (buclă) care execută repetat un bloc cât timp o condiție e adevărată: while, do-while, for.	instrucțiuni de repetiție;instrucțiuni repetitive;buclă;bucle;bucla;ciclu;structuri de repetiție	
while	1	instrucțiune	lab02	lab02#while	Execută blocul cât timp expresia are valoare nenulă, reevaluând-o înaintea fiecărei iterații; se poate executa de zero ori.	ciclu while	
do-while	1	instrucțiune	lab02	lab02#do__while	Buclă în care condiția se evaluează după executarea blocului, deci blocul se execută cel puțin o dată.	do … while;do while;ciclu do while	
for	1	instrucțiune	lab02	lab02#for,coding-style#forwhiledo_while	Buclă cu trei expresii (inițializare; condiție; incrementare), echivalentă cu un while; oricare expresie poate lipsi.	ciclu for;for-uri	
buclă infinită	2	noțiune	lab02	lab02#for,lab02#continue	Buclă a cărei condiție nu devine niciodată falsă (ex. `for ( ; ; )`); din ea se iese doar explicit, cu break sau return.	bucla infinită;bucle infinite	
break	1	instrucțiune	lab02	lab02#break,lab02#switch	Iese forțat din bucla curentă sau din blocul switch, continuând cu instrucțiunea de după acesta.		
continue	2	instrucțiune	lab02	lab02#continue	Termină iterația curentă a buclei și trece la următoarea; la for se execută întâi expresia de incrementare, apoi se evaluează condiția.		
return	1	instrucțiune	lab02	lab02#return,lab03#definirea_si_apelul_unei_functii_in_c	Termină funcția curentă; `return expresie;` întoarce valoarea (convertită la tipul returnat), iar `return;` se folosește în funcțiile void.		
goto	3	instrucțiune	lab02	lab02#goto,coding-style#motivatie	Instrucțiune de salt la o etichetă; nerecomandată, deoarece face programele greu de depanat și analizat.		
buclă imbricată	2	noțiune	lab04	lab04#exemple_de_programe,coding-style#forwhiledo_while	Buclă aflată în corpul altei bucle, folosită de exemplu la parcurgerea matricelor; fiecare nivel are propriul contor (i, j).	bucle imbricate;for-uri imbricate	
funcție	1	noțiune	lab03	lab03#notiuni_teoretice,lab03#definirea_si_apelul_unei_functii_in_c	Unitatea fundamentală de execuție a programelor C: un bloc de instrucțiuni cu nume, parametri și valoare returnată, care împarte o problemă mare în bucăți refolosibile.	funcția;funcții;funcțiile;funcției	
declarația funcției	1	noțiune	lab03	lab03#definirea_si_apelul_unei_functii_in_c,lab03#clase_de_stocare_fisiere_antet_vs_biblioteci	Antetul (semnătura) funcției: tipul returnat, numele și lista de parametri, urmate de `;`; trebuie să apară înaintea codului care o apelează.	antetul funcției;semnătura funcției;function signature;signature;semnătura;semnăturile funcțiilor;declararea	
definiția funcției	1	noțiune	lab03	lab03#definirea_si_apelul_unei_functii_in_c	Antetul funcției urmat de corpul ei între acolade, cu instrucțiunile executate; poate apărea după apel, în alt fișier sursă sau într-o bibliotecă.	definirea funcției;definiția;definirea unei funcții;definită	
apelul funcției	1	noțiune	lab03	lab03#definirea_si_apelul_unei_functii_in_c	Executarea unei funcții prin numele ei, cu parametrii efectivi între paranteze, ex. `min(x, 4)`.	apelul unei funcții;apel;apelează	
parametru	1	noțiune	lab03	lab03#definirea_si_apelul_unei_functii_in_c,lab03#transmiterea_parametrilor	Valoare transmisă unei funcții la apel; în definiție apar ca parametri formali, la apel ca parametri efectivi.	parametri;parametrii;parametrul;argument;argumente;parametri formali;parametri efectivi	
apel prin valoare	1	noțiune	lab03	lab03#transmiterea_parametrilor_prin_valoare,good-practices#cand_este_bine_sa_trimit_variabile_parametri_la_o_functie_si_cand_nu	Mod de transmitere în care funcția lucrează cu o copie a argumentului; modificările făcute în funcție se pierd la terminarea ei.	transmiterea parametrilor prin valoare;transmiterea prin valoare;prin valoare	
tip returnat	2	noțiune	lab03	lab03#definirea_si_apelul_unei_functii_in_c	Tipul valorii întoarse de o funcție (orice tip standard, definit de utilizator sau void); expresia din return e convertită la acest tip.	tipul returnat;tip_returnat;valoarea returnată	
void	1	tip de date	lab03	lab03#tipul_de_date_void,lab02#return	Ca tip returnat, arată că funcția nu întoarce nimic; în lista de parametri, `f(void)`, arată că funcția nu primește parametri.		
recursivitate	1	tehnică	lab03	lab03#functii_recursive	Tehnică în care o funcție se apelează pe sine; are nevoie de o condiție de oprire ca șirul de apeluri să se termine.	funcție recursivă;funcția este recursivă;recursiv;recursivă;apel recursiv;apeluri recursive	
condiție de oprire	1	noțiune	lab03	lab03#functii_recursive	Condiție din funcția recursivă pentru care rezultatul se întoarce direct, fără un nou apel recursiv (ex. `n == 0` la factorial).	condiția de oprire;condiție de oprire	
stack overflow	2	eroare	lab03	lab03#functii_recursive	Umplerea stivei, de exemplu din cauza prea multor apeluri recursive sau a unei recursivități fără condiție de oprire corectă.	Infinite recursion;depășirea stivei	
abordare iterativă	2	tehnică	lab03	lab03#lab-exercitii,lab04#cautare_binara_iterativa	Rezolvarea unei probleme cu bucle în loc de apeluri recursive (ex. putere prin înmulțiri repetate într-un for).	iterativ;iterativă;nerecursivă;iterativ	
clasă de stocare	2	noțiune	lab03	lab03#clase_de_stocare_fisiere_antet_vs_biblioteci	Specificator (extern sau static) care arată dacă o funcție poate fi folosită și din alte fișiere obiect (externă) sau doar în fișierul în care e definită (statică).	clase de stocare;clasa de stocare;clasele de stocare	
extern	3	cuvânt cheie	lab03	lab03#clase_de_stocare_fisiere_antet_vs_biblioteci	Clasă de stocare implicită a funcțiilor: funcția e vizibilă și poate fi apelată din alte fișiere sursă la link-editare.	externă	
static	2	cuvânt cheie	lab03	lab03#clase_de_stocare_fisiere_antet_vs_biblioteci,good-practices#organizare_surse	Aplicat unei funcții, o face internă: poate fi folosită doar în fișierul sursă în care e definită, invizibilă altor fișiere la link-editare.	statică	
variabilă globală	2	noțiune	lab03	lab03#clase_de_stocare_fisiere_antet_vs_biblioteci,coding-style#motivatie	Variabilă declarată în afara oricărei funcții, accesibilă din tot programul; folosirea ei este descurajată și depunctată la teme.	variabile globale;variabilelor globale	
fișier antet	2	noțiune	lab03	lab03#clase_de_stocare_fisiere_antet_vs_biblioteci,good-practices#organizare_surse	Fișier .h cu declarații de funcții (semnături), tipuri și constante, inclus în fișierele sursă ca să le facă cunoscute compilatorului.	fișiere antet;fișierul antet;header;header-ul;headere	
#include	1	directivă preprocesor	lab01	lab01#introducere,good-practices#exemplu	Directivă care include un fișier antet: `<stdio.h>` pentru headere standard, `"vector.h"` pentru fișiere locale ale proiectului.	include	
organizarea surselor	2	bună practică	good-practices	good-practices#organizare_surse,good-practices#exemplu	Împărțirea codului în mai multe fișiere: în .h semnături, tipuri și constante, în .c implementările; funcțiile folosite doar local se declară static.	organizare surse;fișiere separate	
coding style	1	bună practică	coding-style	lab01#introducere,coding-style#motivatie,coding-style#conventie	Convenție de reguli de scriere a codului (denumiri, indentare, spațiere, acolade chiar și la o singură instrucțiune, linii de max. 80 de caractere) care îl face ușor de înțeles; la teme e verificată automat și manual.	coding-style;coding style-ului;convenție de coding style	
checker de coding style	3	unealtă	coding-style	coding-style#coding_style_checker	Scriptul cs.sh oferit de echipă, care depunctează automat cele mai frecvente erori de coding style la teme (convenția Linux Kernel ajustată).	cs.sh;Coding Style checker;checkerul de coding style	
indentare	1	bună practică	coding-style	coding-style#conventie1,coding-style#if_-_else	Deplasarea codului la dreapta cu un tab (4 spații) de fiecare dată când se intră într-o pereche de acolade, ca structura să fie vizibilă.	indentarea;identarea;indenteaza	
spațiere	2	bună practică	coding-style	coding-style#conventie1,coding-style#if_-_else,coding-style#functions	Reguli de spații: spațiu în jurul operatorilor binari, fără spațiu la cei unari și înainte de `;`, spațiu după virgulă, fără spațiu între numele funcției și `(`.	spațierea;spatierea;spațiu	
nume sugestive	1	bună practică	coding-style	coding-style#conventie1,good-practices#cum_aleg_numele_de_functii	Numele de variabile și funcții arată la ce folosesc (ex. count_duplicates, nu c sau f); se scriu cu litere mici, cifre și underscore.	numele entităților;numele funcțiilor;nume sugestiv;sugestive	
modularizare	2	bună practică	good-practices	coding-style#motivatie,coding-style#conventie1,good-practices#modularizare_cod,good-practices#cum	Împărțirea programului în funcții și fișiere cu roluri clare (ex. citire, procesare, afișare separate), pentru cod reutilizabil și ușor de întreținut.	modularizarea;modularizat;modularizarea codului;modularizare cod	
programare defensivă	2	bună practică	good-practices	good-practices#programare_defensiva	Anticiparea a ceea ce poate eșua: verificarea valorilor de retur ale funcțiilor și întoarcerea unor coduri de eroare din propriile funcții.	defensive programming;programarea defensivă	
const	3	cuvânt cheie	good-practices	good-practices#cand_ar_trebui_sa_am_un_parametru_declarat_const_intr-o_functie	Calificator care marchează o valoare ca nemodificabilă; parametrii nemodificați de funcție se marchează const, iar o modificare accidentală dă eroare de compilare.		
tablou	1	noțiune	lab04	lab04#tablouri_multidimensionale,lab04#reprezentarea_in_memorie	Colecție de elemente de același tip, memorate într-o zonă continuă de memorie și accesate prin indici; vectorii și matricele sunt tablouri cu 1 și 2 dimensiuni.	tablouri;tabloul;tablourile;array	
vector	1	noțiune	lab04	lab04#vectori	Colecție liniară și omogenă de date: elementele, toate de același tip, se accesează printr-un index care începe de la 0.	vectori;vectorul;vectorului;vectorii	
matrice	1	noțiune	lab04	lab04#matrice	Colecție omogenă bidimensională, declarată `tip nume[dim_1][dim_2]`, cu elemente accesate prin doi indici numerotați de la 0.	matricea;matrici;matricei;matricele	
indice	1	noțiune	lab04	lab04#vectori,lab04#matrice,lab04#exemple_de_programe	Număr întreg care dă poziția unui element în tablou; în C indexarea începe de la 0, deci pentru n elemente indicii valizi sunt 0..n-1.	index;indici;indexul;indecși;indicii	
inițializarea tabloului	1	noțiune	lab04	lab04#vectori	Stabilirea valorilor elementelor la declarare, ex. `int v[100] = {0};`: elementele neprecizate devin 0, iar dimensiunea poate lipsi dacă se dă lista completă.	inițializare;inițializa;inițializate;inițializează	
element neinițializat	1	eroare	lab04	lab04#vectori	Element de tablou (sau variabilă) folosit înainte de a primi o valoare; poate conține orice valoare, iar compilatorul nu semnalează eroare.	elementele neinițializate;neinițializate;variabilă neinițializată	
depășirea limitelor tabloului	1	eroare	lab04	lab04#exemple_de_programe,lab04#reprezentarea_in_memorie	Accesarea unui element cu indice în afara intervalului 0..n-1; C nu verifică, iar programul poate accesa alte zone de memorie și se poate comporta imprevizibil sau bloca.	depășirea limitelor indicilor;index out of bounds;indexari în afara spațiului de memorie alocat	
